# Date,Open,High,Low,Close,Adjusted,Volume
11/3/2022,12.01,12.38,11.99,12.19,11.081898,23641000
11/4/2022,12.35,12.42,12.05,12.3,11.181899,17958200
11/7/2022,12.37,12.43,12.26,12.39,11.263719,12876800
11/8/2022,12.43,12.43,12.23,12.27,11.154627,14898200
11/9/2022,12.2,12.22,11.89,11.97,10.881897,13683800
11/10/2022,12.2,12.41,12.13,12.32,11.200081,13359400
11/11/2022,12.4,12.46,12.09,12.2,11.09099,16960800
11/14/2022,12.2,12.4,12.01,12.03,10.936443,12506700
11/15/2022,12.12,12.24,11.96,12.04,10.945535,18907900
11/16/2022,12.05,12.11,11.88,12.11,11.009171,13903900
11/17/2022,11.97,12.03,11.91,11.95,10.863715,12749600
11/18/2022,11.94,12.19,11.84,12.17,11.063717,13870600
11/21/2022,12.13,12.17,11.85,12.16,11.054626,16642400
11/22/2022,12.18,12.49,12.18,12.49,11.354628,16312900
11/23/2022,12.34,12.46,12.33,12.43,11.300082,8746400
11/25/2022,12.4,12.47,12.35,12.36,11.236444,4024200
11/28/2022,12.18,12.32,12.13,12.15,11.045534,11178700
11/29/2022,12.22,12.44,12.21,12.41,11.281899,12513700
11/30/2022,12.5,12.54,12.35,12.54,11.400083,17082500
12/1/2022,12.54,12.62,12.41,12.44,11.309172,10953200
12/2/2022,12.34,12.53,12.32,12.53,11.390991,10036500
12/5/2022,12.57,12.62,12.16,12.18,11.072807,14456700
12/6/2022,12.19,12.28,11.88,11.94,10.854624,15234100
12/7/2022,11.91,12.03,11.81,11.91,10.827351,11626300
12/8/2022,12.05,12.11,11.67,11.7,10.636441,16872000
12/9/2022,11.73,11.75,11.4,11.42,10.381893,19643700
12/12/2022,11.47,11.73,11.4,11.7,10.636441,16470400
12/13/2022,11.88,11.96,11.65,11.91,10.827351,16687800
12/14/2022,11.92,11.94,11.68,11.79,10.718259,14450200
12/15/2022,11.69,11.73,11.45,11.66,10.600078,14763400
12/16/2022,11.5,11.67,11.37,11.66,10.600078,20090900
12/19/2022,11.73,11.75,11.47,11.56,10.509167,15059300
12/20/2022,11.52,11.74,11.42,11.68,10.618258,16339800
12/21/2022,11.77,11.98,11.7,11.95,10.863715,18758800
12/22/2022,11.86,11.88,11.52,11.81,10.736443,17559400
12/23/2022,11.8,12,11.72,11.96,10.872807,17927400
12/27/2022,11.9,11.93,11.81,11.9,10.818259,12203600
12/28/2022,11.8,11.85,11.65,11.67,10.609167,9936300
12/29/2022,11.65,11.93,11.62,11.86,10.781897,8617000
12/30/2022,11.75,11.9,11.7,11.87,10.790988,7244200
1/3/2023,11.9,11.93,11.5,11.62,10.563712,12535000
1/4/2023,11.6,11.82,11.55,11.66,10.600078,12865200
1/5/2023,11.63,11.96,11.63,11.93,10.845533,12246200
1/6/2023,12,12.19,11.98,12.15,11.045534,11341400
1/9/2023,12.32,12.43,12.25,12.31,11.190989,12347100
1/10/2023,12.38,12.41,12.24,12.39,11.263719,8750400
1/11/2023,12.48,12.58,12.44,12.53,11.390991,8658800
1/12/2023,12.62,12.76,12.53,12.64,11.490993,10386800
1/13/2023,12.64,12.68,12.56,12.67,11.518266,5837500
1/17/2023,12.69,12.85,12.61,12.62,11.47281,14703200
1/18/2023,12.77,12.89,12.5,12.51,11.37281,13843100
1/19/2023,12.5,12.63,12.42,12.6,11.454628,11364400
1/20/2023,12.76,12.8,12.62,12.76,11.600083,10182900
1/23/2023,12.95,13.07,12.85,13.01,11.827359,17524100
1/24/2023,12.99,13.67,12.84,13.07,11.881905,10545400
1/25/2023,13.04,13.17,12.86,13.15,11.954632,11125100
1/26/2023,13.47,13.53,13.12,13.5,12.272816,24145900
1/27/2023,13.52,13.57,13.27,13.36,12.145542,16136300
1/30/2023,13.36,13.37,13.06,13.1,11.909177,34494700
1/31/2023,13.16,13.28,13.03,13.28,12.072814,13143400
2/1/2023,13.35,13.36,13.02,13.07,11.881905,24295600
2/2/2023,13.17,13.33,13.1,13.28,12.072814,16323500
2/3/2023,13.35,13.51,13.25,13.28,12.072814,18015700
2/6/2023,13.04,13.09,12.82,12.98,12.077467,16139500
2/7/2023,13.03,13.07,12.77,12.85,11.956506,12692900
2/8/2023,12.9,12.92,12.73,12.78,11.891374,15961400
2/9/2023,12.88,12.89,12.7,12.76,11.872765,9458100
2/10/2023,12.78,12.93,12.78,12.84,11.947202,9734600
2/13/2023,12.87,13.03,12.82,12.95,12.049553,9203200
2/14/2023,12.95,13.19,12.9,13.09,12.179818,10596500
2/15/2023,13.09,13.14,12.78,13.14,12.226342,9922600
2/16/2023,12.95,13.25,12.95,13.05,12.1426,17515400
2/17/2023,12.95,12.98,12.7,12.87,11.975116,13445300
2/21/2023,12.86,12.97,12.7,12.74,11.854154,12948700
2/22/2023,12.9,13.04,12.71,13,12.096076,13906200
2/23/2023,13.14,13.18,12.96,13.01,12.105381,12273600
2/24/2023,12.95,12.97,12.81,12.86,11.965811,11848500
2/27/2023,13,13,12.73,12.76,11.872765,11867700
2/28/2023,12.8,12.83,12.66,12.66,11.779716,10127300
3/1/2023,12.69,12.85,12.63,12.79,11.900678,12046500
3/2/2023,12.75,12.98,12.68,12.95,12.049553,10553700
3/3/2023,12.9,13.12,12.87,13.05,12.1426,13324000
3/6/2023,13.06,13.25,12.96,13.2,12.282169,9810400
3/7/2023,13.24,13.25,13,13.13,12.217037,11204700
3/8/2023,13.11,13.19,12.93,13.16,12.244951,12026300
3/9/2023,13.19,13.21,12.87,12.9,12.00303,8986600
3/10/2023,12.92,12.98,12.52,12.6,11.723889,17618100
3/13/2023,12.44,12.51,11.94,12.26,11.40753,27275200
3/14/2023,12.4,12.69,12.21,12.34,11.481968,11223200
3/15/2023,12.05,12.13,11.65,11.94,11.109781,28747400
3/16/2023,11.8,12.26,11.56,12.25,11.398226,21766000
3/17/2023,12.23,12.25,11.82,11.99,11.156303,22859800
3/20/2023,11.99,12.16,11.8,11.84,11.016734,12118800
3/21/2023,11.99,12.16,11.97,12.11,11.267961,9857000
3/22/2023,12.11,12.11,11.75,11.76,10.942297,11738900
3/23/2023,11.88,12,11.56,11.68,10.86786,12792000
3/24/2023,11.52,11.77,11.45,11.7,10.886468,11410800
3/27/2023,11.83,11.92,11.59,11.84,11.016734,12296800
3/28/2023,11.81,12.11,11.79,12.05,11.212132,9275300
3/29/2023,12.16,12.29,12.06,12.2,11.351703,9687000
3/30/2023,12.3,12.45,12.18,12.44,11.575014,8488300
3/31/2023,12.46,12.5,12.38,12.47,11.602929,7379200
4/3/2023,12.73,12.95,12.7,12.82,11.928592,14849900
4/4/2023,12.93,12.93,12.59,12.75,11.86346,9375500
4/5/2023,12.78,12.8,12.61,12.76,11.872765,7046400
